,title_rus,title_eng,edibility,divisio,classis,ordo,familia,genus,location,links,article_id
327,Рядовка опенковидная,Tricholoma focale,Съедобен,Basidiomycota,Basidiomycetes,Agaricales,Tricholomataceae,Tricholoma,СК ,../../articles.php?article_id=2474,2474
328,Рядовка оранжевая,Tricholoma aurantium,Условносъедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК ,../../articles.php?article_id=44,44
329,Рядовка полосатая,Tricholoma virgatum,Ядовит,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК СК ,../../articles.php?article_id=2342,2342
330,Рядовка серая,Tricholoma portentosum,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК СК ,../../articles.php?article_id=2458,2458
331,Рядовка серебристая,Tricholoma scalpturatum,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК ,../../articles.php?article_id=138,138
332,Рядовка скученная,Lyophyllum decastes,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Lyophyllum,ЮК ,../../articles.php?article_id=107,107
333,Рядовка тополевая,Tricholoma populinum,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК ВК СК ЗК ,../../articles.php?article_id=137,137
334,Рядовка фиолетовая,Lepista nuda,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Lepista,ЮК ,../../articles.php?article_id=673,673
335,Рядовка чешуйчатая,Tricholoma imbricatum,Съедобен,Basidiomycota,Basidiomycetes,Agaricales,Tricholomataceae,Tricholoma,ЮК ВК СК ,../../articles.php?article_id=33,33
336,Саркосфера корончатая,Sarcosphaera coronaria,Ядовит,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Sarcosphaera,ЮК ,../../articles.php?article_id=2236,2236
337,Свинушка ольховая,Paxillus filamentosus,,Basidiomycota,Basidiomycetes,Boletales,Paxillaceae,Paxillus,ЮК ВК СК ЗК ,../../articles.php?article_id=670,670
338,Свинушка тонкая,Paxillus involutus,Условносъедобен,Basidiomycota,Agaricomycetes,Boletales,Paxillaceae,Paxillus,,../../articles.php?article_id=34,34
339,Серопластинник горький,Rhodocybe mundula,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Rhodocybe,ЮК ,../../articles.php?article_id=1124,1124
340,Серопластинник трактирный,Clitocella popinalis,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitocella,ЮК ,../../articles.php?article_id=2522,2522
341,Сизигоспора гриболюбивая,Syzygospora mycetophila,Несъедобен,Basidiomycota,Tremellomycetes,Tremellales,Syzygosporaceae,Syzygospora,ЮК ,../../articles.php?article_id=1153,1153
342,Скрипица,Lactarius vellereus,Условносъедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Lactarius,ЮК ,../../articles.php?article_id=2373,2373
343,Скутеллиния блюдцевидная,Scutellinia scutellata,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Otideaceae,Scutellinia,ЮК ВК СК ЗК ,../../articles.php?article_id=759,759
344,Сморчковая шапочка,Verpa bohemica,Съедобен,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Verpa,ЮК ВК СК ,../../articles.php?article_id=1990,1990
345,Сморчок высокий,Morchella elata,Съедобен,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,ЮК ,../../articles.php?article_id=2078,2078
346,Сморчок обыкновенный,Morchella vulgaris,Съедобен,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,ЮК ,../../articles.php?article_id=663,663
347,Сморчок степной,Morchella steppicola,Съедобен,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,ЮК ,../../articles.php?article_id=606,606
348,Сморчок съедобный,Morchella esculenta,Съедобен,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Morchella,ЮК ,../../articles.php?article_id=2471,2471
349,Совербиелла короткоспоровая,Sowerbyella brevispora,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Sowerbyella,ЮК ,../../articles.php?article_id=2502,2502
350,Совербиелла сетчатая,Sowerbyella radiculata,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Otideaceae,Sowerbyella,ЮК ,../../articles.php?article_id=810,810
351,Спатулярия желтоватая,Spathularia flavida,Съедобен,Ascomycota,Leotiomycetes,Helotiales,Cudoniaceae,Spathularia,ВК СК ,../../articles.php?article_id=2504,2504
352,Спинеллус щетинистый,Spinellus fusiger,Несъедобен,Zygomycota,Zygomycetes,Mucorales,Mucoraceae,Spinellus,ЮК ,../../articles.php?article_id=1141,1141
353,Стереум жестковолосистый,Stereum hirsutum,Несъедобен,Basidiomycota,Basidiomycetes,Stereales,Stereaceae,Stereum,ЮК ,../../articles.php?article_id=1179,1179
354,Стереум краснеющий,Stereum sanguinolentum,Несъедобен,Basidiomycota,Basidiomycetes,Stereales,Stereaceae,Stereum,ЮК ,../../articles.php?article_id=1181,1181
355,Строфария корончатая,Stropharia coronilla,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Stropharia,ЮК ,../../articles.php?article_id=545,545
356,Строфария полушаровидная,Stropharia semiglobata,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Stropharia,ЮК ,../../articles.php?article_id=2147,2147
357,Строфария сине-зеленая,Stropharia aeruginosa,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Stropharia,ЮК ВК ,../../articles.php?article_id=2145,2145
358,Строчок осенний,Gyromitra infula,Смертельноядовит,Ascomycota,Ascomycetes,Pezizales,Helvellaceae,Gyromitra,ЮК ВК СК ЗК ,../../articles.php?article_id=765,765
359,Строчок щитовидный,Discina ancilis,Съедобен,Ascomycota,Pezizomycetes,Pezizales,Discinaceae,Discina,ЮК ВК ,../../articles.php?article_id=972,972
360,Сухлянка двухлетняя,Coltricia perennis,Несъедобен,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Coltricia,ЦК СК ,../../articles.php?article_id=2158,2158
361,Сфероболюс звездчатый,Sphaerobolus stellatus,Несъедобен,Basidiomycota,Agaricomycetes,Sclerodermatales,Sphaerobolaceae,Sphaerobolus,ЮК ,../../articles.php?article_id=1105,1105
362,Сыроежка выцветающая,Russula exalbicans,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,ЦК СК ,../../articles.php?article_id=2318,2318
363,Сыроежка девичья,Russula puellaris,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ,../../articles.php?article_id=2543,2543
364,Сыроежка желтая,Russula claroflava,Съедобен,Basidiomycota,Basidiomycetes,Russulales,Russulaceae,Russula,СК ВК ,../../articles.php?article_id=47,47
365,Сыроежка зеленая,Russula aeruginea,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,ЮК СК ,../../articles.php?article_id=83,83
366,Сыроежка золотистая,Russula aurea,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ,../../articles.php?article_id=2478,2478
367,Сыроежка каштановая,Russula badia,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ,../../articles.php?article_id=2545,2545
368,Сыроежка красная,Russula rubra,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,ЮК СК ВК ,../../articles.php?article_id=2550,2550
369,Сыроежка кроваво-красная,Russula sanguinea,Несъедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ,../../articles.php?article_id=2546,2546
370,Сыроежка мясистая,Russula medullata,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ,../../articles.php?article_id=2542,2542
371,Сыроежка невзрачная,Russula nauseosa,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,ЮК ,../../articles.php?article_id=2487,2487
372,Сыроежка оливиновая,Russula olivina,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,ЮК ,../../articles.php?article_id=2430,2430
373,Сыроежка оливковая,Russula olivacea,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ВК ,../../articles.php?article_id=2537,2537
374,Сыроежка пищевая,Russula vesca,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ,../../articles.php?article_id=2538,2538
375,Сыроежка пламенно-оранжевая,Russula aurantioflammans,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,ЮК СК ,../../articles.php?article_id=2547,2547
376,Сыроежка розовоногая,Russula roseipes,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ,../../articles.php?article_id=2544,2544
377,Сыроежка сереющая,Russula decolorans,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ,../../articles.php?article_id=2541,2541
378,Сыроежка сычуаньская,Russula sichuanensis,Съедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,ЮК ,../../articles.php?article_id=195,195
379,Сыроежка черно-красная,Russula atrorubens,Несъедобен,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,СК ,../../articles.php?article_id=2486,2486
380,Тапинелла панусовидная,Tapinella panuoides,Ядовит,Basidiomycota,Basidiomycetes,Boletales,Paxillaceae,Tapinella,ЮК ,../../articles.php?article_id=764,764
381,Тарелочница порховка,Disciseda bovista,Несъедобен,Basidiomycota,Agaricomycetes,Agaricomycetidae,Agaricaceae,Disciseda,ЮК ЦК ВК СК ,../../articles.php?article_id=2447,2447
382,Тарзетта чашевидная,Tarzetta catinus,Съедобен,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Tarzetta,ЮК ВК ,../../articles.php?article_id=699,699
383,Телефора гвоздичная,Thelephora caryophyllea,Несъедобен,Basidiomycota,Basidiomycetes,Thelephorales,Thelephoraceae,Thelephora,ЮК СК ВК ,../../articles.php?article_id=836,836
384,Телефора наземная,Thelephora terrestris,Несъедобен,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Thelephora,ЮК ЦК ВК СК ЗК ,../../articles.php?article_id=700,700
385,Траметес охряный,Trametes ochracea,Несъедобен,Basidiomycota,Basidiomycetes,Poriales,Coriolaceae,Trametes,ЮК ,../../articles.php?article_id=1177,1177
386,Траметес разноцветный,Trametes versicolor,Несъедобен,Basidiomycota,Basidiomycetes,Poriales,Coriolaceae,Trametes,ЮК ,../../articles.php?article_id=963,963
387,Траметес Трога,Trametes trogii,Несъедобен,Basidiomycota,Basidiomycetes,Poriales,Coriolaceae,Trametes,ЮК ,../../articles.php?article_id=1176,1176
388,Трихаптум двоякий,Trichaptum biforme,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trichaptum,СК ,../../articles.php?article_id=2527,2527
389,Трихаптум пихтовый,Trichaptum abietinum,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Trichaptum,ЮК ,../../articles.php?article_id=803,803
390,Трихарина буро-желтая,Tricharina gilva,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Tricharina,ЮК ,../../articles.php?article_id=821,821
391,Трихоломопсис украшенный,Tricholomopsis ornata,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Tricholomopsis,ЮК ,../../articles.php?article_id=2386,2386
392,Трихофея скученная,Trichophaea gregaria,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Trichophaea,ЮК ВК ,../../articles.php?article_id=730,730
393,Трутовик березовый,Piptoporus betulinus,Съедобен,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Piptoporus,ЮК ,../../articles.php?article_id=470,470
394,Трутовик дымчатый,Bjerkandera fumosa,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Meruliaceae,Bjerkandera,ЮК ,../../articles.php?article_id=706,706
395,Трутовик жестковолосистый,Trametes hirsuta,Несъедобен,Basidiomycota,Basidiomycetes,Poriales,Coriolaceae,Trametes,ЮК ,../../articles.php?article_id=976,976
396,Трутовик изменчивый,Polyporus varius,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,ЮК ,../../articles.php?article_id=709,709
397,Трутовик корнелюбивый,Polyporus rhizophilus,Съедобен,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,ЮК ,../../articles.php?article_id=621,621
398,Трутовик настоящий,Fomes fomentarius,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Fomes,ЮК ЦК ВК СК ЗК ,../../articles.php?article_id=655,655
399,Трутовик облепиховый,Phellinus hippophaecola,Несъедобен,Basidiomycota,Basidiomycetes,Hymenochaetales,Hymenochaetaceae,Phellinus,ЮК ,../../articles.php?article_id=1182,1182
400,Трутовик окаймленный,Fomitopsis pinicola,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Fomitopsis,ЮК ,../../articles.php?article_id=162,162
401,Трутовик плоский,Ganoderma applanatum,Несъедобен,Basidiomycota,Basidiomycetes,Polyporales,Ganodermataceae,Ganoderma,ЮК ВК СК ЗК ,../../articles.php?article_id=654,654
402,Трутовик розовый,Fomitopsis rosea,Несъедобен,Basidiomycota,Basidiomycetes,Polyporales,Fomitopsidaceae,Fomitopsis,ЮК ,../../articles.php?article_id=960,960
403,Трутовик серно-желтый,Laetiporus sulphureus,Съедобен,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Laetiporus,ЮК ЦК ВК СК ЗК ,../../articles.php?article_id=146,146
404,Трутовик серно-желтый еловый,Laetiporus conifericola,Ядовит,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Laetiporus,ЮК ЦК ВК СК ЗК ,../../articles.php?article_id=2027,2027
405,Трутовик скошенный,Inonotus obliquus,Несъедобен,Basidiomycota,Agaricomycetes,Hymenochaetales,Hymenochaetaceae,Inonotus,ЮК ,../../articles.php?article_id=896,896
406,Трутовик черноногий,Polyporus melanopus,Съедобен,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,ЮК ЦК ВК СК ,../../articles.php?article_id=2290,2290
407,Трутовик чешуйчатый,Polyporus squamosus,Съедобен,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,Polyporus,ЮК ЦК ВК СК ЗК ,../../articles.php?article_id=143,143
408,Трутовик Швейница,Phaeolus schweinitzii,Несъедобен,Basidiomycota,Agaricomycetes,Polyporales,Fomitopsidaceae,Phaeolus,ЦК ВК СК ,../../articles.php?article_id=2349,2349
409,Трюфель польский,Choiromyces meandriformis,Съедобен,Ascomycota,Pezizomycetes,Tuberales,Tuberaceae,Choiromyces,ЮК ,../../articles.php?article_id=911,911
410,Тулостома влагалищная,Tulostoma volvulatum,Несъедобен,Basidiomycota,Agaricomycetes,Agaricomycetidae,Agaricaceae,Tulostoma,ЮК ,../../articles.php?article_id=2448,2448
411,Фаллогастер мешковидный,Phallogaster saccatus,Несъедобен,Basidiomycota,Agaricomycetes,Hysterangiales,Hysterangiaceae,Phallogaster,ЮК ,../../articles.php?article_id=2505,2505
412,Феллориния геркулесовая,Phellorinia herculeana,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Phelloriniaceae,Phellorinia,ЮК ЦК ,../../articles.php?article_id=979,979
413,Филлотопсис гнездообразный,Phyllotopsis nidulans,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Phyllotopsis,ЮК ВК ,../../articles.php?article_id=2516,2516
414,Фламмулина Фенны,Flammulina fennae,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Physalacriaceae,Flammulina,ЮК ,../../articles.php?article_id=1983,1983
415,Флебия дрожащая,Phlebia tremellosa,Несъедобен,Basidiomycota,Basidiomycetes,Stereales,Meruliaceae,Phlebia,ЮК ,../../articles.php?article_id=1180,1180
416,Флебия радиальная,Phlebia radiata,Несъедобен,Basidiomycota,Basidiomycetes,Polyporales,Meruliaceae,Phlebia,ЮК ,../../articles.php?article_id=897,897
417,Хейдерия пихтовая,Heyderia abietis,Несъедобен,Ascomycota,Leotiomycetes,Leotiales,Leotiaceae,Heyderia,ЮК ,../../articles.php?article_id=1174,1174
418,Хейлимения зернистая,Cheilymenia granulata,Несъедобен,Ascomycota,Pezizomycetes,Pezizales,Otideaceae,Coprobia,ЮК ,../../articles.php?article_id=985,985
419,Хондростереум пурпурный,Chondrostereum purpureum,Несъедобен,Basidiomycota,Basidiomycetes,Stereales,Meruliaceae,Chondrostereum,ЮК ,../../articles.php?article_id=1178,1178
420,Хромозера синепластинчатая,Chromosera cyanophylla,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Tricholomataceae,Chromosera,ЮК ,../../articles.php?article_id=2286,2286
421,Церрена одноцветная,Cerrena unicolor,Несъедобен,Basidiomycota,Basidiomycetes,Polyporales,Polyporaceae,Cerrena,ЮК ,../../articles.php?article_id=182,182
422,Цистелла Гривелла,Cistella grevillei,Несъедобен,Ascomycota,Ascomycetes,Leotiales,Hyaloscyphaceae,Cistella,ЮК ,../../articles.php?article_id=984,984
423,Цистодерма амиантовая,Cystoderma amianthinum,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cystoderma,ЮК ,../../articles.php?article_id=875,875
424,Цистодерма шелушистая,Cystoderma carcharias,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cystoderma,ЮК ,../../articles.php?article_id=955,955
425,Цистодермелла зернистая,Cystodermella granulosa,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cystoderma,СК ЮК ,../../articles.php?article_id=2397,2397
426,Цистодермелла киноварно-кра...,Cystodermella cinnabarina,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Cystoderma,СК ,../../articles.php?article_id=2387,2387
427,Чесночник обыкновенный,Marasmius scorodonius,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Mycetinis,ВК СК ,../../articles.php?article_id=2160,2160
428,Чешуйчатка золотистая,Pholiota aurivella,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,ЮК ,../../articles.php?article_id=951,951
429,Чешуйчатка обыкновенная,Pholiota squarrosa,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Pholiota,ЮК ,../../articles.php?article_id=90,90
430,Чешуйчатка разрушающая,Pholiota populnea,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,ЮК ,../../articles.php?article_id=1187,1187
431,Чешуйчатка толстая,Pholiota adiposa,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,ЮК ,../../articles.php?article_id=1120,1120
432,Чешуйчатка угольная,Pholiota carbonaria,Условносъедобен,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Pholiota,ЮК ,../../articles.php?article_id=63,63
433,Шамониксия дернистая,Chamonixia caespitosa,Несъедобен,Basidiomycota,Agaricomycetes,Boletales,Boletaceae,Chamonixia,ЮК ,../../articles.php?article_id=2506,2506
434,Шампиньон августовский,Agaricus augustus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,ЮК ВК СК ЗК ,../../articles.php?article_id=241,241
435,Шампиньон Бернарда,Agaricus bernardii,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,ВК СК ,../../articles.php?article_id=2464,2464
436,Шампиньон двуспоровый,Agaricus bisporus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,ЮК СК ,../../articles.php?article_id=75,75
437,Шампиньон желтокожий,Agaricus xanthodermus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,ЮК ,../../articles.php?article_id=141,141
438,Шампиньон красноватый,Agaricus semotus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,ЮК СК ,../../articles.php?article_id=2551,2551
439,Шампиньон лесной,Agaricus silvaticus,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,ЮК ,../../articles.php?article_id=48,48
440,Шампиньон луговой,Agaricus campestris,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,ЮК ,../../articles.php?article_id=147,147
441,Шампиньон перелесковый,Agaricus silvicola,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,ЮК ,../../articles.php?article_id=148,148
442,Шампиньон полевой,Agaricus arvensis,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Agaricus,ЮК ,../../articles.php?article_id=2064,2064
443,Шапочка коническая,Verpa conica,Условносъедобен,Ascomycota,Pezizomycetes,Pezizales,Morchellaceae,Verpa,ЮК ,../../articles.php?article_id=123,123
444,Шизостома разорванная,Schizostoma laceratum,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Schizostoma,ЮК ,../../articles.php?article_id=2031,2031
445,Шиитаке,Lentinula edodes,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Omphalotaceae,Lentinula,ВК СК ,../../articles.php?article_id=76,76
446,Щелелистник обыкновенный,Schizophyllum commune,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Schizophyllaceae,Schizophyllum,ЮК ВК СК ЗК ,../../articles.php?article_id=149,149
447,Эксидия железистая,Exidia glandulosa,Условносъедобен,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariaceae,Exidia,ЮК ,../../articles.php?article_id=728,728
448,Эксидия жемчужная,Exidia nucleata,Съедобен,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,ЮК ,../../articles.php?article_id=819,819
449,Эндоптихум агариковидный,Endoptychum agaricoides,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Endoptychum,ЮК ЦК СК ,../../articles.php?article_id=2028,2028
450,Энтолома весенняя,Entoloma vernum,Ядовит,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,ЮК ,../../articles.php?article_id=661,661
451,Энтолома гладконогая,Entoloma poliopus,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,ЮК ,../../articles.php?article_id=1184,1184
452,Энтолома садовая,Entoloma clypeatum,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,ЮК ,../../articles.php?article_id=53,53
453,Энтолома светло-коричневая,Entoloma saepium,Съедобен,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,ЮК ,../../articles.php?article_id=54,54
454,Энтолома шершавоножковая,Entoloma hirtipes,Несъедобен,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Entoloma,ЮК ,../../articles.php?article_id=756,756
